STATEFP10,COUNTYFP10,TRACTCE10,BLKGRPCE10,GEOID10,Count_
24,510,040100,1,245100401001,2
24,510,271503,1,245102715031,1
24,510,200600,2,245102006002,1
24,510,220100,1,245102201001,1
24,510,010500,1,245100105001,1
24,510,240200,1,245102402001,1
24,510,272005,1,245102720051,1
24,510,020300,2,245100203002,1
24,510,020300,3,245100203003,1
24,510,120100,3,245101201003,1
24,510,270401,1,245102704011,1
24,510,130600,2,245101306002,2
24,510,220100,4,245102201004,1
24,510,271400,3,245102714003,1
24,510,130804,1,245101308041,1
24,510,271501,3,245102715013,1
24,510,271200,1,245102712001,1
24,510,271200,3,245102712003,1
24,510,170100,1,245101701001,1
24,510,120300,1,245101203001,1
24,510,271501,2,245102715012,1
24,510,270401,2,245102704012,1
24,510,272003,4,245102720034,1
24,510,170300,1,245101703001,1
24,510,230200,2,245102302002,1
24,510,261100,1,245102611001,2
24,510,240100,1,245102401001,1
24,510,270200,1,245102702001,1
24,510,220100,2,245102201002,1
24,510,220100,3,245102201003,1
24,510,271501,4,245102715014,1
24,510,020100,2,245100201002,2
24,510,010200,2,245100102002,1
24,510,010200,4,245100102004,1
24,510,040100,2,245100401002,3
24,510,090100,2,245100901002,1
24,510,030200,2,245100302002,3
24,510,010300,2,245100103002,2
24,510,010400,2,245100104002,1
24,021,752102,2,240217521022,1
24,021,750803,1,240217508031,1
24,021,750506,1,240217505061,1
24,021,750505,2,240217505052,1
24,017,850706,1,240178507061,3
24,005,490400,1,240054904001,4
24,005,403100,1,240054031001,1
24,005,420100,2,240054201002,1
24,005,401301,1,240054013011,1
24,005,400701,2,240054007012,2
24,005,420800,2,240054208002,1
24,005,403602,1,240054036021,1
24,005,401000,2,240054010002,1
24,005,408502,1,240054085021,2
24,005,490601,1,240054906011,1
24,005,451900,3,240054519003,1
24,005,403803,1,240054038031,2
24,005,411201,1,240054112011,1
24,005,420800,1,240054208001,1
24,005,411407,1,240054114071,1
24,005,408900,2,240054089002,2
24,005,440701,2,240054407012,1
24,005,402603,1,240054026031,1
24,005,403802,1,240054038021,2
24,005,400500,1,240054005001,1
24,025,303900,1,240253039001,1
24,013,504202,2,240135042022,1
24,013,505207,2,240135052072,1
24,013,505208,1,240135052081,2
24,025,301205,2,240253012052,1
24,025,301702,3,240253017023,1
24,013,504100,2,240135041002,2
24,025,304202,5,240253042025,1
24,013,509002,1,240135090021,2
24,013,507802,1,240135078021,1
24,025,303501,2,240253035012,1
24,025,305100,3,240253051003,1
24,013,514201,3,240135142013,1
24,025,303400,3,240253034003,1
24,005,403601,1,240054036011,1
24,005,420301,1,240054203011,1
24,033,803512,3,240338035123,1
24,033,804300,2,240338043002,1
24,033,803508,2,240338035082,1
24,033,806900,2,240338069002,1
24,033,803522,2,240338035222,1
24,033,803605,2,240338036052,1
24,005,490602,1,240054906021,1
24,005,403402,2,240054034022,2
24,005,402404,2,240054024042,1
24,005,411306,3,240054113063,1
24,033,803516,1,240338035161,2
24,033,807000,4,240338070004,1
24,005,401507,1,240054015071,1
24,033,800402,2,240338004022,1
24,033,807000,2,240338070002,1
24,033,800213,3,240338002133,1
24,005,440702,2,240054407022,1
24,033,800409,1,240338004091,1
24,033,800701,1,240338007011,3
24,005,403500,1,240054035001,1
24,005,490500,1,240054905001,3
24,033,800516,1,240338005161,1
24,033,803527,2,240338035272,1
24,005,408703,3,240054087033,1
24,005,408506,2,240054085062,1
24,005,402307,3,240054023073,1
24,033,801407,3,240338014073,1
24,033,802204,2,240338022042,1
24,033,800706,1,240338007061,2
24,005,490601,2,240054906012,1
24,005,490500,3,240054905003,1
24,005,490703,1,240054907031,1
24,005,408302,2,240054083022,2
24,033,806714,2,240338067142,1
24,033,800514,1,240338005141,3
24,033,807200,4,240338072004,1
24,033,807408,2,240338074082,1
24,033,803522,1,240338035221,1
24,005,492600,2,240054926002,2
24,005,403702,2,240054037022,1
24,033,801305,2,240338013052,1
24,033,801308,1,240338013081,1
24,033,801309,1,240338013091,1
24,033,801802,3,240338018023,1
24,033,804700,1,240338047001,1
24,005,404101,2,240054041012,1
24,033,800705,2,240338007052,2
24,005,404102,1,240054041021,2
24,033,800208,2,240338002082,1
24,033,803513,1,240338035131,1
24,005,402603,2,240054026032,1
24,005,402603,3,240054026033,2
24,033,801005,2,240338010052,1
24,033,801410,1,240338014101,1
24,033,801404,3,240338014043,1
24,033,800704,2,240338007042,1
24,033,806400,2,240338064002,1
24,005,403401,2,240054034012,1
24,005,403701,5,240054037015,2
24,005,403701,2,240054037012,2
24,033,801305,1,240338013051,1
24,033,803521,1,240338035211,1
24,005,408303,1,240054083031,3
24,033,800519,3,240338005193,1
24,033,800513,4,240338005134,1
24,005,404900,3,240054049003,1
24,005,408704,1,240054087041,1
24,005,408100,1,240054081001,1
24,005,408304,2,240054083042,1
24,005,408304,1,240054083041,1
24,005,408507,3,240054085073,1
24,033,804002,2,240338040022,2
24,033,801405,2,240338014052,1
24,033,806706,1,240338067061,1
24,031,702102,1,240317021021,1
24,031,702200,3,240317022003,1
24,031,701316,2,240317013162,1
24,031,703601,3,240317036013,1
24,031,703201,2,240317032012,3
24,031,704700,2,240317047002,2
24,031,705502,2,240317055022,2
24,031,700101,3,240317001013,1
24,031,700207,2,240317002072,1
24,031,703221,2,240317032212,2
24,031,701422,1,240317014221,1
24,031,702900,4,240317029004,1
24,031,701215,2,240317012152,2
24,031,704502,1,240317045021,2
24,031,700206,2,240317002062,1
24,031,701410,1,240317014101,1
24,031,701307,1,240317013071,3
24,031,706010,2,240317060102,1
24,031,700713,1,240317007131,1
24,031,701206,1,240317012061,4
24,031,706009,2,240317060092,5
24,031,700312,3,240317003123,1
24,031,700311,1,240317003111,1
24,031,705000,1,240317050001,1
24,031,704700,4,240317047004,4
24,031,704600,1,240317046001,1
24,031,704600,2,240317046002,1
24,031,705400,1,240317054001,4
24,031,705502,1,240317055021,2
24,031,702900,5,240317029005,1
24,031,705601,2,240317056012,1
24,031,701308,1,240317013081,1
24,031,703208,2,240317032082,1
24,031,704806,2,240317048062,2
24,031,702200,1,240317022001,1
24,031,705300,1,240317053001,1
24,031,701006,3,240317010063,1
24,031,705200,1,240317052001,1
24,031,705100,1,240317051001,3
24,031,702602,1,240317026021,1
24,031,702700,4,240317027004,2
24,031,700309,1,240317003091,1
24,031,700608,2,240317006082,4
24,031,700613,1,240317006131,1
24,031,706013,2,240317060132,2
24,031,705800,3,240317058003,2
24,031,701206,3,240317012063,1
24,031,705902,3,240317059023,1
24,031,705701,1,240317057011,1
24,031,700310,1,240317003101,1
24,031,705602,2,240317056022,1
24,031,705702,2,240317057022,1
24,031,705601,1,240317056011,1
24,031,703208,1,240317032081,2
24,031,700606,3,240317006063,1
24,031,700826,3,240317008263,2
24,031,700829,1,240317008291,2
24,031,701221,2,240317012212,1
24,031,704805,1,240317048051,4
24,031,704502,2,240317045022,1
24,031,705602,1,240317056021,1
24,031,705800,1,240317058001,3
24,031,705800,2,240317058002,1
24,031,706008,3,240317060083,2
24,031,705901,2,240317059012,1
24,031,705601,3,240317056013,2
24,031,705901,1,240317059011,3
24,031,705100,3,240317051003,3
24,031,701507,3,240317015073,1
24,031,701205,2,240317012052,2
24,031,700500,3,240317005003,1
24,031,704000,3,240317040003,1
24,031,700824,1,240317008241,1
24,031,703221,3,240317032213,1
24,031,700615,1,240317006151,1
24,031,701313,1,240317013131,1
24,031,705902,2,240317059022,3
24,031,703214,2,240317032142,1
24,031,706007,3,240317060073,2
